2022-02-07 00:25:07.682 [main] INFO  org.apache.coyote.http11.Http11NioProtocol - Starting ProtocolHandler ["http-nio-8334"]
2022-02-07 00:25:07.697 [main] INFO  o.s.boot.web.embedded.tomcat.TomcatWebServer - Tomcat started on port(s): 8334 (http) with context path '/wustlib'
2022-02-07 00:25:07.697 [main] INFO  s.d.s.web.plugins.DocumentationPluginsBootstrapper - Context refreshed
2022-02-07 00:25:07.708 [main] INFO  s.d.s.web.plugins.DocumentationPluginsBootstrapper - Found 1 custom documentation plugin(s)
2022-02-07 00:25:07.727 [main] INFO  s.d.spring.web.scanners.ApiListingReferenceScanner - Scanning for api listing references
2022-02-07 00:25:07.828 [main] INFO  com.linghang.wusthelper.wustlib.WustLibApplication - Started WustLibApplication in 2.91 seconds (JVM running for 3.327)
2022-02-07 00:29:21.242 [main] INFO  com.linghang.wusthelper.wustlib.WustLibApplication - Starting WustLibApplication using Java 1.8.0_271 on DESKTOP-JUI40V8 with PID 21224 (F:\JavaProjects\linghang\wusthelper\wustlib_server\target\classes started by Leibuyun in F:\JavaProjects\linghang\wusthelper)
2022-02-07 00:29:21.241 [background-preinit] INFO  org.hibernate.validator.internal.util.Version - HV000001: Hibernate Validator 6.2.0.Final
2022-02-07 00:29:21.243 [main] INFO  com.linghang.wusthelper.wustlib.WustLibApplication - The following profiles are active: dev
2022-02-07 00:29:22.221 [main] INFO  o.s.boot.web.embedded.tomcat.TomcatWebServer - Tomcat initialized with port(s): 8334 (http)
2022-02-07 00:29:22.221 [main] INFO  org.apache.catalina.core.AprLifecycleListener - An older version [1.2.25] of the Apache Tomcat Native library is installed, while Tomcat recommends a minimum version of [1.2.30]
2022-02-07 00:29:22.223 [main] INFO  org.apache.catalina.core.AprLifecycleListener - Loaded Apache Tomcat Native library [1.2.25] using APR version [1.7.0].
2022-02-07 00:29:22.223 [main] INFO  org.apache.catalina.core.AprLifecycleListener - APR capabilities: IPv6 [true], sendfile [true], accept filters [false], random [true], UDS [false].
2022-02-07 00:29:22.223 [main] INFO  org.apache.catalina.core.AprLifecycleListener - APR/OpenSSL configuration: useAprConnector [false], useOpenSSL [true]
2022-02-07 00:29:22.224 [main] INFO  org.apache.catalina.core.AprLifecycleListener - OpenSSL successfully initialized [OpenSSL 1.1.1g  21 Apr 2020]
2022-02-07 00:29:22.229 [main] INFO  org.apache.coyote.http11.Http11NioProtocol - Initializing ProtocolHandler ["http-nio-8334"]
2022-02-07 00:29:22.229 [main] INFO  org.apache.catalina.core.StandardService - Starting service [Tomcat]
2022-02-07 00:29:22.230 [main] INFO  org.apache.catalina.core.StandardEngine - Starting Servlet engine: [Apache Tomcat/9.0.56]
2022-02-07 00:29:22.294 [main] INFO  o.a.c.c.C.[Tomcat].[localhost].[/wustlib] - Initializing Spring embedded WebApplicationContext
2022-02-07 00:29:22.295 [main] INFO  o.s.b.w.s.c.ServletWebServerApplicationContext - Root WebApplicationContext: initialization completed in 1012 ms
2022-02-07 00:29:23.473 [main] INFO  s.d.s.w.PropertySourcedRequestMappingHandlerMapping - Mapped URL path [/v2/api-docs] onto method [springfox.documentation.swagger2.web.Swagger2Controller#getDocumentation(String, HttpServletRequest)]
2022-02-07 00:29:23.645 [main] INFO  org.apache.coyote.http11.Http11NioProtocol - Starting ProtocolHandler ["http-nio-8334"]
2022-02-07 00:29:23.660 [main] INFO  o.s.boot.web.embedded.tomcat.TomcatWebServer - Tomcat started on port(s): 8334 (http) with context path '/wustlib'
2022-02-07 00:29:23.661 [main] INFO  s.d.s.web.plugins.DocumentationPluginsBootstrapper - Context refreshed
2022-02-07 00:29:23.672 [main] INFO  s.d.s.web.plugins.DocumentationPluginsBootstrapper - Found 1 custom documentation plugin(s)
2022-02-07 00:29:23.691 [main] INFO  s.d.spring.web.scanners.ApiListingReferenceScanner - Scanning for api listing references
2022-02-07 00:29:23.790 [main] INFO  com.linghang.wusthelper.wustlib.WustLibApplication - Started WustLibApplication in 2.918 seconds (JVM running for 3.298)
2022-02-07 00:29:32.650 [http-nio-8334-exec-2] INFO  o.a.c.c.C.[Tomcat].[localhost].[/wustlib] - Initializing Spring DispatcherServlet 'dispatcherServlet'
2022-02-07 00:29:32.650 [http-nio-8334-exec-2] INFO  org.springframework.web.servlet.DispatcherServlet - Initializing Servlet 'dispatcherServlet'
2022-02-07 00:29:32.651 [http-nio-8334-exec-2] INFO  org.springframework.web.servlet.DispatcherServlet - Completed initialization in 1 ms
2022-02-07 00:29:32.779 [http-nio-8334-exec-2] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Starting...
2022-02-07 00:29:32.861 [http-nio-8334-exec-2] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Start completed.
2022-02-07 00:45:28.236 [background-preinit] INFO  org.hibernate.validator.internal.util.Version - HV000001: Hibernate Validator 6.2.0.Final
2022-02-07 00:45:28.240 [main] INFO  com.linghang.wusthelper.wustyjs.WustYjsApplication - Starting WustYjsApplication using Java 1.8.0_271 on DESKTOP-JUI40V8 with PID 10272 (F:\JavaProjects\linghang\wusthelper\wustyjs_server\target\classes started by Leibuyun in F:\JavaProjects\linghang\wusthelper)
2022-02-07 00:45:28.240 [main] INFO  com.linghang.wusthelper.wustyjs.WustYjsApplication - The following profiles are active: dev
2022-02-07 00:45:29.325 [main] INFO  o.s.boot.web.embedded.tomcat.TomcatWebServer - Tomcat initialized with port(s): 8333 (http)
2022-02-07 00:45:29.326 [main] INFO  org.apache.catalina.core.AprLifecycleListener - An older version [1.2.25] of the Apache Tomcat Native library is installed, while Tomcat recommends a minimum version of [1.2.30]
2022-02-07 00:45:29.326 [main] INFO  org.apache.catalina.core.AprLifecycleListener - Loaded Apache Tomcat Native library [1.2.25] using APR version [1.7.0].
2022-02-07 00:45:29.326 [main] INFO  org.apache.catalina.core.AprLifecycleListener - APR capabilities: IPv6 [true], sendfile [true], accept filters [false], random [true], UDS [false].
2022-02-07 00:45:29.326 [main] INFO  org.apache.catalina.core.AprLifecycleListener - APR/OpenSSL configuration: useAprConnector [false], useOpenSSL [true]
